"STATION","NAME","DATE","DAPR","MDPR","PRCP","SNOW","SNWD","TAVG","TMAX","TMIN","TOBS","WESD","WESF","WT01","WT04","WT06","WT11"
"USS0033J01S","LONG LAKE, AK US","2020-02-18",,,"0.00",,"94.0","33","39","31","38","31.3",,,,,
"USS0033J01S","LONG LAKE, AK US","2020-02-19",,,"0.90",,"95.0","35","41","34","34","31.5",,,,,
"USS0033J01S","LONG LAKE, AK US","2020-02-20",,,"0.90",,"97.0","35","37","34","34","32.9",,,,,
"USS0033J01S","LONG LAKE, AK US","2020-02-21",,,"1.10",,"95.0","35","38","32","32","32.7",,,,,
"USS0033J01S","LONG LAKE, AK US","2020-02-22",,,"0.30",,"100.0","32","35","29","29","33.6",,,,,
"USS0033J01S","LONG LAKE, AK US","2020-02-23",,,"0.40",,"102.0","30","36","28","28","34.0",,,,,
"USS0033J01S","LONG LAKE, AK US","2020-02-24",,,"0.30",,"104.0","27","32","23","26","34.6",,,,,
"USS0033J01S","LONG LAKE, AK US","2020-02-25",,,"1.00",,"110.0","29","33","26","33","35.4",,,,,
"USS0033J01S","LONG LAKE, AK US","2020-02-26",,,"1.40",,"110.0","35","38","33","36","35.4",,,,,
"USS0033J01S","LONG LAKE, AK US","2020-02-27",,,"1.60",,"106.0","34","37","33","35","35.4",,,,,
"USS0033J01S","LONG LAKE, AK US","2020-02-28",,,"0.80",,"104.0","34","37","33","33","36.2",,,,,
"USS0033J01S","LONG LAKE, AK US","2020-02-29",,,"0.10",,"101.0","33","38","31","32","36.7",,,,,
"USS0033J01S","LONG LAKE, AK US","2020-03-01",,,"1.00",,"109.0","34","39","31","38","38.1",,,,,
"USS0033J01S","LONG LAKE, AK US","2020-03-02",,,"0.50",,"109.0","35","38","33","34","38.6",,,,,
"USS0033J01S","LONG LAKE, AK US","2020-03-03",,,"0.90",,"117.0","33","35","31","32","39.5",,,,,
"USS0033J01S","LONG LAKE, AK US","2020-03-04",,,"0.40",,"118.0","30","33","28","28","40.2",,,,,
"USS0033J01S","LONG LAKE, AK US","2020-03-05",,,"0.00",,"114.0","30","37","23","23","40.2",,,,,
"USS0033J01S","LONG LAKE, AK US","2020-03-06",,,"0.20",,"117.0","20","27","7","9","40.5",,,,,
"USS0033J01S","LONG LAKE, AK US","2020-03-07",,,"0.00",,"113.0","15","26","1","24","40.5",,,,,
"USS0033J01S","LONG LAKE, AK US","2020-03-08",,,"0.60",,"125.0","29","34","24","33","41.1",,,,,
"USS0033J01S","LONG LAKE, AK US","2020-03-09",,,"1.00",,"125.0","34","36","33","33","42.7",,,,,
"USS0033J01S","LONG LAKE, AK US","2020-03-10",,,"1.10",,"126.0","34","38","30","30","43.4",,,,,
"USS0033J01S","LONG LAKE, AK US","2020-03-11",,,"0.30",,"128.0","28","37","19","19","43.8",,,,,
"USS0033J01S","LONG LAKE, AK US","2020-03-12",,,"0.10",,"125.0","16","28","10","15","43.8",,,,,
"USS0033J01S","LONG LAKE, AK US","2020-03-13",,,"0.00",,"123.0","15","28","8","13","43.9",,,,,
"USS0033J01S","LONG LAKE, AK US","2020-03-14",,,"0.10",,"121.0","18","31","8","16","43.9",,,,,
"USS0033J01S","LONG LAKE, AK US","2020-03-15",,,"0.00",,"120.0","21","36","10","22","43.9",,,,,
"USS0033J01S","LONG LAKE, AK US","2020-03-16",,,,,"120.0","25","38","14","19","43.9",,,,,
"USS0033J01S","LONG LAKE, AK US","2020-03-17",,,"0.00",,"119.0","23","39","13","20","44.0",,,,,
"USS0033J01S","LONG LAKE, AK US","2020-03-18",,,"0.00",,"119.0","27","37","16","31","43.9",,,,,
"USS0033J01S","LONG LAKE, AK US","2020-03-19",,,"0.00",,"118.0","33","51","21","23","43.9",,,,,
"USS0033J01S","LONG LAKE, AK US","2020-03-20",,,"0.00",,"117.0","31","48","19","32","43.9",,,,,
"USS0033J01S","LONG LAKE, AK US","2020-03-21",,,"0.20",,"118.0",,,,,"44.4",,,,,
"USS0033J01S","LONG LAKE, AK US","2020-03-22",,,"0.10",,"117.0","37","45","31","37","44.6",,,,,
"USS0033J01S","LONG LAKE, AK US","2020-03-23",,,"0.10",,"117.0","32","39","19","20","44.6",,,,,
"USS0033J01S","LONG LAKE, AK US","2020-03-24",,,"0.10",,"117.0","24","39","13","19","44.6",,,,,
"USS0033J01S","LONG LAKE, AK US","2020-03-25",,,"0.20",,"116.0","28","38","15","32","44.6",,,,,
"USS0033J01S","LONG LAKE, AK US","2020-03-26",,,"0.20",,"118.0","34","46","29","33","45.0",,,,,
"USS0033J01S","LONG LAKE, AK US","2020-03-27",,,"0.20",,"118.0","31","36","25","25","45.2",,,,,
"USS0033J01S","LONG LAKE, AK US","2020-03-28",,,"0.10",,"117.0","25","28","23","23","45.2",,,,,
"USS0033J01S","LONG LAKE, AK US","2020-03-29",,,"0.10",,"118.0","22","24","20","21","45.3",,,,,
"USS0033J01S","LONG LAKE, AK US","2020-03-30",,,"0.00",,"117.0","23","27","19","19","45.3",,,,,
"USS0033J01S","LONG LAKE, AK US","2020-03-31",,,"0.00",,"117.0","20","31","11","14","45.3",,,,,
"USS0033J01S","LONG LAKE, AK US","2020-04-01",,,"0.00",,"116.0","20","36","8","17","45.3",,,,,
"USS0033J01S","LONG LAKE, AK US","2020-04-02",,,"0.00",,"116.0","24","40","13","16","45.3",,,,,
"USS0033J01S","LONG LAKE, AK US","2020-04-03",,,"0.10",,"117.0","21","33","10","15","45.3",,,,,
"USS0033J01S","LONG LAKE, AK US","2020-04-04",,,"0.00",,"116.0","24","44","10","17","45.3",,,,,
"USS0033J01S","LONG LAKE, AK US","2020-04-05",,,"0.00",,"116.0","28","40","13","32","45.3",,,,,
"USS0033J01S","LONG LAKE, AK US","2020-04-06",,,"0.20",,"116.0","34","38","30","30","45.3",,,,,
"USS0033J01S","LONG LAKE, AK US","2020-04-07",,,"0.30",,"120.0","32","38","28","32","45.7",,,,,
"USS0033J01S","LONG LAKE, AK US","2020-04-08",,,"1.40",,"124.0","34","39","31","37","47.3",,,,,
"USS0033J01S","LONG LAKE, AK US","2020-04-09",,,"0.10",,"122.0","35","40","28","28","47.3",,,,,
"USS0033J01S","LONG LAKE, AK US","2020-04-10",,,"0.10",,"121.0","32","44","23","24","47.6",,,,,
"USS0033J01S","LONG LAKE, AK US","2020-04-11",,,"0.00",,"121.0","30","45","18","25","48.0",,,,,
"USS0033J01S","LONG LAKE, AK US","2020-04-12",,,"0.00",,"120.0","34","47","21","36","48.1",,,,,
"USS0033J01S","LONG LAKE, AK US","2020-04-13",,,"0.30",,"119.0","38","45","35","36","48.2",,,,,
"USS0033J01S","LONG LAKE, AK US","2020-04-14",,,"0.30",,"116.0","40","54","32","32","47.5",,,,,
"USS0033J01S","LONG LAKE, AK US","2020-04-15",,,"0.10",,"115.0","37","45","30","35","47.0",,,,,
"USS0033J01S","LONG LAKE, AK US","2020-04-16",,,"0.10",,"113.0","37","43","35","36","46.7",,,,,
"USS0033J01S","LONG LAKE, AK US","2020-04-17",,,"0.00",,"112.0","39","52","33","34","46.1",,,,,
"USS0033J01S","LONG LAKE, AK US","2020-04-18",,,"0.00",,"110.0","40","53","30","35","45.8",,,,,
"USS0033J01S","LONG LAKE, AK US","2020-04-19",,,"0.00",,"109.0","40","53","31","36","45.5",,,,,
"USS0033J01S","LONG LAKE, AK US","2020-04-20",,,"0.50",,"108.0","39","42","35","36","45.0",,,,,
"USS0033J01S","LONG LAKE, AK US","2020-04-21",,,"1.20",,"107.0","37","40","34","35","44.4",,,,,
"USS0033J01S","LONG LAKE, AK US","2020-04-22",,,"2.10",,"106.0","36","40","34","35","44.4",,,,,
"USS0033J01S","LONG LAKE, AK US","2020-04-23",,,"0.70",,"104.0","37","45","34","38","43.9",,,,,
"USS0033J01S","LONG LAKE, AK US","2020-04-24",,,"0.40",,"103.0","37","41","34","34","43.8",,,,,
"USS0033J01S","LONG LAKE, AK US","2020-04-25",,,"0.20",,"102.0","38","45","34","36","43.6",,,,,
"USS0033J01S","LONG LAKE, AK US","2020-04-26",,,"0.60",,"100.0","38","46","35","37","43.1",,,,,
"USS0033J01S","LONG LAKE, AK US","2020-04-27",,,"1.30",,"99.0","38","42","36","39","42.4",,,,,
"USS0033J01S","LONG LAKE, AK US","2020-04-28",,,"1.10",,"98.0","38","41","35","35","42.0",,,,,
"USS0033J01S","LONG LAKE, AK US","2020-04-29",,,"1.00",,"96.0","38","42","35","35","41.2",,,,,
"USS0033J01S","LONG LAKE, AK US","2020-04-30",,,"0.10",,"96.0","37","41","34","36","40.7",,,,,
"USS0033J01S","LONG LAKE, AK US","2020-05-01",,,"0.00",,"94.0","40","49","34","35","40.4",,,,,
"USS0033J01S","LONG LAKE, AK US","2020-05-02",,,"0.00",,"92.0","42","51","35","41","39.9",,,,,
"USS0033J01S","LONG LAKE, AK US","2020-05-03",,,"0.60",,"91.0","39","45","36","37","38.9",,,,,
"USS0033J01S","LONG LAKE, AK US","2020-05-04",,,"0.10",,"89.0","41","51","33","34","38.4",,,,,
"USS0033J01S","LONG LAKE, AK US","2020-05-05",,,"0.00",,"88.0","39","51","32","33","38.2",,,,,
"USS0033J01S","LONG LAKE, AK US","2020-05-06",,,"0.00",,"87.0","40","56","31","37","37.3",,,,,
"USS0033J01S","LONG LAKE, AK US","2020-05-07",,,"0.00",,"85.0","42","52","35","35","36.7",,,,,
"USS0033J01S","LONG LAKE, AK US","2020-05-08",,,"0.00",,"83.0","43","57","33","36","36.3",,,,,
"USS0033J01S","LONG LAKE, AK US","2020-05-09",,,"0.00",,"82.0","44","57","34","38","35.6",,,,,
"USS0033J01S","LONG LAKE, AK US","2020-05-10",,,"0.00",,"80.0","45","57","36","39","34.9",,,,,
"USS0033J01S","LONG LAKE, AK US","2020-05-11",,,"0.00",,"78.0","44","56","34","36","34.2",,,,,
"USS0033J01S","LONG LAKE, AK US","2020-05-12",,,"0.00",,"77.0","44","58","33","36","33.6",,,,,
"USS0033J01S","LONG LAKE, AK US","2020-05-13",,,"0.00",,"75.0","45","57","34","40","32.7",,,,,
"USS0033J01S","LONG LAKE, AK US","2020-05-14",,,"0.00",,"74.0","40","49","36","38","32.3",,,,,
"USS0033J01S","LONG LAKE, AK US","2020-05-15",,,"0.00",,"72.0","44","56","35","40","31.5",,,,,
"USS0033J01S","LONG LAKE, AK US","2020-05-16",,,"0.00",,"69.0","45","56","36","37","30.7",,,,,
"USS0033J01S","LONG LAKE, AK US","2020-05-17",,,"0.00",,"68.0","45","55","35","39","29.9",,,,,
"USS0033J01S","LONG LAKE, AK US","2020-05-18",,,"0.00",,"67.0","43","52","35","38","29.2",,,,,
"USS0033J01S","LONG LAKE, AK US","2020-05-19",,,"1.30",,"65.0","40","43","37","39","28.6",,,,,
"USS0033J01S","LONG LAKE, AK US","2020-05-20",,,"0.10",,"62.0","43","56","36","36","27.5",,,,,
"USS0033J01S","LONG LAKE, AK US","2020-05-21",,,"0.00",,"61.0","44","55","34","38","26.8",,,,,
"USS0033J01S","LONG LAKE, AK US","2020-05-22",,,,,"59.0","43","53","36","38","26.2",,,,,
"USS0033J01S","LONG LAKE, AK US","2020-05-23",,,"0.10",,"57.0","43","55","37","41","25.4",,,,,
"USS0033J01S","LONG LAKE, AK US","2020-05-24",,,"0.70",,"55.0","42","48","37","38","24.5",,,,,
"USS0033J01S","LONG LAKE, AK US","2020-05-25",,,"0.30",,"53.0","40","49","36","37","23.6",,,,,
"USS0033J01S","LONG LAKE, AK US","2020-05-26",,,"0.70",,"52.0","40","48","36","37","22.9",,,,,
"USS0033J01S","LONG LAKE, AK US","2020-05-27",,,"0.00",,"50.0","44","55","35","37","22.1",,,,,
"USS0033J01S","LONG LAKE, AK US","2020-05-28",,,"0.00",,"48.0","44","57","35","41","21.4",,,,,
"USS0033J01S","LONG LAKE, AK US","2020-05-29",,,"0.00",,"46.0","46","60","37","42","20.6",,,,,
"USS0033J01S","LONG LAKE, AK US","2020-05-30",,,"0.00",,"44.0","45","55","38","39","19.8",,,,,
"USS0033J01S","LONG LAKE, AK US","2020-05-31",,,"1.00",,"42.0","41","47","38","38","19.0",,,,,
"US1AKJB0011","JUNEAU 14.6 W, AK US","2020-01-02","   11","6.10",,,,,,,,,,,,,
"US1AKJB0011","JUNEAU 14.6 W, AK US","2020-01-03",,,"0.00","0.1","0.1",,,,,,,,,,
"US1AKJB0011","JUNEAU 14.6 W, AK US","2020-01-05",,,"0.04","1.0","1.0",,,,,,,,,,
"US1AKJB0011","JUNEAU 14.6 W, AK US","2020-01-06",,,"0.05","2.0","3.0",,,,,,,,,,
"US1AKJB0011","JUNEAU 14.6 W, AK US","2020-01-07",,,"0.12","3.2","6.0",,,,,,"0.1",,,,
"US1AKJB0011","JUNEAU 14.6 W, AK US","2020-01-08",,,"0.18","3.0","8.0",,,,,,"0.2",,,,
"US1AKJB0011","JUNEAU 14.6 W, AK US","2020-01-09",,,"0.03","0.3","8.0",,,,,,"0.0",,,,
"US1AKJB0011","JUNEAU 14.6 W, AK US","2020-01-10",,,"0.00","0.0","8.0",,,,,,,,,,
"US1AKJB0011","JUNEAU 14.6 W, AK US","2020-01-11",,,"0.00","0.0","8.0",,,,,,,,,,
"US1AKJB0011","JUNEAU 14.6 W, AK US","2020-01-12",,,"0.00","0.0","5.0",,,,,,,,,,
"US1AKJB0011","JUNEAU 14.6 W, AK US","2020-01-13",,,"0.00","0.0","5.0",,,,,,,,,,
"US1AKJB0011","JUNEAU 14.6 W, AK US","2020-01-14",,,"0.00","0.0","5.0",,,,,,,,,,
"US1AKJB0011","JUNEAU 14.6 W, AK US","2020-01-15",,,"0.00","0.0","4.0",,,,,,,,,,
"US1AKJB0011","JUNEAU 14.6 W, AK US","2020-01-16",,,"0.00","0.0","4.0",,,,,,,,,,
"US1AKJB0011","JUNEAU 14.6 W, AK US","2020-01-17",,,"0.00","0.0","3.0",,,,,,,,,,
"US1AKJB0011","JUNEAU 14.6 W, AK US","2020-01-18",,,"0.00",,,,,,,,,,,,
"US1AKJB0011","JUNEAU 14.6 W, AK US","2020-01-19",,,"0.03","0.6","5.0",,,,,,"0.0",,,,
"US1AKJB0011","JUNEAU 14.6 W, AK US","2020-01-20",,,"0.10","1.5","6.0",,,,,,"0.1",,,,
"US1AKJB0011","JUNEAU 14.6 W, AK US","2020-01-21",,,"0.06","0.6","6.0",,,,,,"0.1",,,,
"US1AKJB0011","JUNEAU 14.6 W, AK US","2020-01-22",,,"0.28","2.4","8.0",,,,,,"0.3",,,,
"US1AKJB0011","JUNEAU 14.6 W, AK US","2020-01-23",,,"0.26","1.3","7.0",,,,,,"0.3",,,,
"US1AKJB0011","JUNEAU 14.6 W, AK US","2020-01-24",,,"0.73","0.4","6.0",,,,,,,,,,
"US1AKJB0011","JUNEAU 14.6 W, AK US","2020-01-25",,,"0.25","2.4","8.0",,,,,,"0.3",,,,
"US1AKJB0011","JUNEAU 14.6 W, AK US","2020-01-26",,,"0.80","1.8","11.0",,,,,,,,,,
"US1AKJB0011","JUNEAU 14.6 W, AK US","2020-01-27",,,"0.72","2.4","8.0",,,,,,,,,,
"US1AKJB0011","JUNEAU 14.6 W, AK US","2020-01-28",,,"0.15","0.0","7.0",,,,,,,,,,
"US1AKJB0011","JUNEAU 14.6 W, AK US","2020-01-29",,,"0.45",,"5.0",,,,,,,,,,
"US1AKJB0011","JUNEAU 14.6 W, AK US","2020-01-30",,,"0.56","0.2","4.0",,,,,,,,,,
"US1AKJB0011","JUNEAU 14.6 W, AK US","2020-01-31",,,"0.58","7.0","12.0",,,,,,"0.6",,,,
"US1AKJB0011","JUNEAU 14.6 W, AK US","2020-02-01",,,"0.12","2.0",,,,,,,"0.1",,,,
"US1AKJB0011","JUNEAU 14.6 W, AK US","2020-02-02",,,"0.36","3.4",,,,,,,"0.4",,,,
"US1AKJB0011","JUNEAU 14.6 W, AK US","2020-02-03",,,"0.04","0.5",,,,,,,"0.0",,,,
"US1AKJB0011","JUNEAU 14.6 W, AK US","2020-02-04",,,"0.84","5.8",,,,,,,"0.8",,,,
"US1AKJB0011","JUNEAU 14.6 W, AK US","2020-02-05",,,"0.43",,,,,,,,,,,,
"US1AKJB0011","JUNEAU 14.6 W, AK US","2020-02-06",,,"0.04","0.0",,,,,,,,,,,
"US1AKJB0011","JUNEAU 14.6 W, AK US","2020-02-08",,,"0.00",,,,,,,,,,,,
"US1AKJB0011","JUNEAU 14.6 W, AK US","2020-02-09",,,"0.52",,,,,,,,,,,,
"US1AKJB0011","JUNEAU 14.6 W, AK US","2020-02-10",,,"0.30",,,,,,,,,,,,
"US1AKJB0011","JUNEAU 14.6 W, AK US","2020-02-11",,,"1.53","0.0",,,,,,,,,,,
"US1AKJB0011","JUNEAU 14.6 W, AK US","2020-02-12",,,"0.32",,,,,,,,,,,,
"US1AKJB0011","JUNEAU 14.6 W, AK US","2020-02-13",,,"0.55",,,,,,,,,,,,
"US1AKJB0011","JUNEAU 14.6 W, AK US","2020-02-14",,,"0.09","0.1",,,,,,,,,,,
"US1AKJB0011","JUNEAU 14.6 W, AK US","2020-02-15",,,"0.23","3.1",,,,,,,"0.2",,,,
"US1AKJB0011","JUNEAU 14.6 W, AK US","2020-02-16",,,"0.53","5.5",,,,,,,"0.5",,,,
"US1AKJB0011","JUNEAU 14.6 W, AK US","2020-02-17",,,"0.20","3.1",,,,,,,"0.2",,,,
"US1AKJB0011","JUNEAU 14.6 W, AK US","2020-02-18",,,"0.07",,,,,,,,,,,,
"US1AKJB0011","JUNEAU 14.6 W, AK US","2020-02-19",,,"0.12","0.0",,,,,,,,,,,
"US1AKJB0011","JUNEAU 14.6 W, AK US","2020-02-20",,,"0.32",,,,,,,,,,,,
"US1AKJB0011","JUNEAU 14.6 W, AK US","2020-02-21",,,"1.09",,,,,,,,,,,,
"US1AKJB0011","JUNEAU 14.6 W, AK US","2020-02-22",,,"0.17","1.0",,,,,,,"0.2",,,,
"US1AKJB0011","JUNEAU 14.6 W, AK US","2020-02-23",,,"0.06",,,,,,,,,,,,
"US1AKJB0011","JUNEAU 14.6 W, AK US","2020-02-25",,,"0.04","0.5",,,,,,,"0.0",,,,
"US1AKJB0011","JUNEAU 14.6 W, AK US","2020-02-26",,,"0.45","2.0",,,,,,,"0.4",,,,
"US1AKJB0011","JUNEAU 14.6 W, AK US","2020-02-27",,,"0.65","0.0",,,,,,,,,,,
"US1AKJB0011","JUNEAU 14.6 W, AK US","2020-02-29","    2","0.66",,,"10.0",,,,,,,,,,
"US1AKJB0011","JUNEAU 14.6 W, AK US","2020-03-01",,,"0.31","0.0","11.0",,,,,,,,,,
"US1AKJB0011","JUNEAU 14.6 W, AK US","2020-03-02",,,"0.62","0.0","11.0",,,,,,,,,,
"US1AKJB0011","JUNEAU 14.6 W, AK US","2020-03-03",,,"0.22","0.0","11.0",,,,,,,,,,
"US1AKJB0011","JUNEAU 14.6 W, AK US","2020-03-04",,,"0.15","0.2","11.0",,,,,,,,,,
"US1AKJB0011","JUNEAU 14.6 W, AK US","2020-03-05",,,"0.01",,"11.0",,,,,,,,,,
"US1AKJB0011","JUNEAU 14.6 W, AK US","2020-03-06",,,"0.00",,,,,,,,,,,,
"US1AKJB0011","JUNEAU 14.6 W, AK US","2020-03-07",,,"0.00",,,,,,,,,,,,
"US1AKJB0011","JUNEAU 14.6 W, AK US","2020-03-08",,,"0.04","1.0","12.0",,,,,,"0.0",,,,
"US1AKJB0011","JUNEAU 14.6 W, AK US","2020-03-09",,,"0.65","1.5","15.0",,,,,,"0.6",,,,
"US1AKJB0011","JUNEAU 14.6 W, AK US","2020-03-10",,,"0.88","1.1","15.0",,,,,,"0.9",,,,
"US1AKJB0011","JUNEAU 14.6 W, AK US","2020-03-11",,,"0.31","0.5","15.0",,,,,,,,,,
"US1AKJB0011","JUNEAU 14.6 W, AK US","2020-03-12",,,"0.07","1.0","16.0",,,,,,"0.1",,,,
"US1AKJB0011","JUNEAU 14.6 W, AK US","2020-03-13",,,"0.00",,"15.0",,,,,,,,,,
"US1AKJB0011","JUNEAU 14.6 W, AK US","2020-03-14",,,"0.00",,"15.0",,,,,,,,,,
"US1AKJB0011","JUNEAU 14.6 W, AK US","2020-03-15",,,"0.00",,"15.0",,,,,,,,,,
"US1AKJB0011","JUNEAU 14.6 W, AK US","2020-03-16",,,"0.00","0.0","14.0",,,,,,,,,,
"US1AKJB0011","JUNEAU 14.6 W, AK US","2020-03-17",,,"0.00","0.0","14.0",,,,,,,,,,
"US1AKJB0011","JUNEAU 14.6 W, AK US","2020-03-18",,,"0.00",,"14.0",,,,,,,,,,
"US1AKJB0011","JUNEAU 14.6 W, AK US","2020-03-19",,,"0.00","0.0","13.0",,,,,,,,,,
"US1AKJB0011","JUNEAU 14.6 W, AK US","2020-03-21",,,"0.02",,"12.0",,,,,,,,,,
"US1AKJB0011","JUNEAU 14.6 W, AK US","2020-03-22",,,"0.15",,"12.0",,,,,,,,,,
"US1AKJB0011","JUNEAU 14.6 W, AK US","2020-03-23",,,"0.00",,"11.0",,,,,,,,,,
"US1AKJB0011","JUNEAU 14.6 W, AK US","2020-03-24",,,"0.00",,"10.0",,,,,,,,,,
"US1AKJB0011","JUNEAU 14.6 W, AK US","2020-03-25",,,"0.00",,"10.0",,,,,,,,,,
"US1AKJB0011","JUNEAU 14.6 W, AK US","2020-03-26",,,"0.20",,"10.0",,,,,,,,,,
"US1AKJB0011","JUNEAU 14.6 W, AK US","2020-03-27",,,"0.18","0.0","10.0",,,,,,,,,,
"US1AKJB0011","JUNEAU 14.6 W, AK US","2020-03-28",,,"0.06","0.0","10.0",,,,,,,,,,
"US1AKJB0011","JUNEAU 14.6 W, AK US","2020-03-29",,,"0.00",,"10.0",,,,,,,,,,
"US1AKJB0011","JUNEAU 14.6 W, AK US","2020-03-30",,,"0.00",,"8.0",,,,,,,,,,
"US1AKJB0011","JUNEAU 14.6 W, AK US","2020-03-31",,,"0.00",,"6.0",,,,,,,,,,
"US1AKJB0011","JUNEAU 14.6 W, AK US","2020-04-01",,,"0.00",,"4.0",,,,,,,,,,
